,0
0,100.0
1,100.04867585459442
2,99.96698027751239
3,100.29206765276028
4,100.21831468978456
5,100.11668105405282
6,100.4887103969253
7,100.29404304830686
8,100.27255024614466
9,100.12747754075916
10,100.06925307705586
11,100.04082736942874
12,100.21980919867634
13,100.45061787510778
14,100.3782020605007
15,100.1568848540001
16,100.40249074422212
17,100.68444278235481
18,100.77330922564279
19,101.12519157641206
20,101.29456590081301
21,101.38833471581461
22,101.16060564901107
23,101.17467734073472
24,101.37823059025428
25,101.05389196879486
26,101.25973579946407
27,101.47858565131796
28,101.23852872857753
29,101.24029622201904
30,101.12120630902434
31,101.41716799719086
32,101.26378564755012
33,101.49477933099121
34,101.31088537893048
35,101.4044829248023
36,101.40864469108053
37,101.23662600977443
38,101.47413266434454
39,101.67079955542918
40,101.97078454171623
41,101.63261010739954
42,101.7721197911968
43,101.947076470801
44,102.19535687456225
45,101.90920346405555
46,101.70683596094356
47,101.90442158270977
48,101.88983323953485
49,102.02027654200818
50,101.79140389147926
51,101.85904636513803
52,102.00890692756506
53,101.86516355338453
54,101.92449155104073
55,101.79760526262054
56,101.25793244553364
57,101.29747652245011
58,101.10739977366177
59,100.89721009471505
60,100.82791928716335
61,101.07762893074694
62,100.81335829971165
63,100.65877944313424
64,100.64518062636901
65,100.91903745743046
66,100.78099138391441
67,100.7654490324085
68,100.5421798965134
69,100.30725424387268
70,100.66611763884745
71,100.64528463406597
72,100.6280917141266
73,100.70321697502551
74,100.60403389736364
75,100.64418057352769
76,100.61952811147376
77,100.5398306521251
78,100.36514207020636
79,100.49750584271338
80,100.61836811502837
81,100.33646576488039
82,100.70226298270491
83,100.48777291373925
84,100.49987694016538
85,100.60876044265726
86,100.92226253033517
87,100.93224737963835
88,100.75930845610475
89,100.69225833566678
90,100.95185834639076
91,101.19661869560545
92,101.2848347768413
93,101.67890260941303
94,101.50687338028693
95,101.70502141083752
96,101.89349354224993
97,101.57954435532967
98,101.82672506565329
99,102.61225803789863
